name,description,category,train_set_mean,train_set_stddev,coefficient
diag_189.1,Malignant neoplasm of renal pelvis,dx_proc_medi,0.001649837,0.023698669,-0.006516409
diag_195.2,Malignant neoplasm of abdomen,dx_proc_medi,0.003032557,0.038011653,-0.003095138
diag_195.3,Malignant neoplasm of pelvis,dx_proc_medi,0.003171353,0.039041325,0.008493336
diag_196.0,"Secondary and unspecified malignant neoplasm of lymph nodes of head, face, and neck",dx_proc_medi,0.010896778,0.070710743,-0.019299049
diag_196.5,Secondary and unspecified malignant neoplasm of lymph nodes of inguinal region and lower limb,dx_proc_medi,0.00114441,0.025245738,-0.001382239
diag_196.9,"Secondary and unspecified malignant neoplasm of lymph nodes, site unspecified",dx_proc_medi,0.011444105,0.070100842,-0.003614531
diag_197.0,Secondary malignant neoplasm of lung,dx_proc_medi,0.044393698,0.153911473,-0.009935368
diag_197.6,Secondary malignant neoplasm of retroperitoneum and peritoneum,dx_proc_medi,0.018258192,0.106051497,-0.017924787
diag_197.7,"Malignant neoplasm of liver, secondary",dx_proc_medi,0.055950411,0.180349633,-0.027424768
diag_198.0,Secondary malignant neoplasm of kidney,dx_proc_medi,0.001309394,0.025871799,0.005918249
diag_198.2,Secondary malignant neoplasm of skin,dx_proc_medi,0.005606826,0.058875144,-0.013528928
diag_198.3,Secondary malignant neoplasm of brain and spinal cord,dx_proc_medi,0.033656666,0.143925222,-0.02738648
diag_198.4,Secondary malignant neoplasm of other parts of nervous system,dx_proc_medi,0.004027696,0.049879795,-0.015656864
diag_198.5,Secondary malignant neoplasm of bone and bone marrow,dx_proc_medi,0.062733072,0.186908823,-0.022219172
diag_198.7,Secondary malignant neoplasm of adrenal gland,dx_proc_medi,0.003763199,0.047449104,0.001582636
diag_198.89,Secondary malignant neoplasm of other specified sites,dx_proc_medi,0.021612859,0.106646181,-0.009870586
diag_199.1,Other malignant neoplasm without specification of site,dx_proc_medi,0.074423343,0.184113621,-0.008750699
diag_203.00,"Multiple myeloma, without mention of having achieved remission",dx_proc_medi,0.002901617,0.032908367,0.025088115
diag_204.10,"Chronic lymphoid leukemia, without mention of having achieved remission",dx_proc_medi,0.001251781,0.024214686,-0.002762153
diag_209.60,Benign carcinoid tumor of unknown primary site,dx_proc_medi,0.008249183,0.060642171,0.028950647
diag_209.72,Secondary neuroendocrine tumor of liver,dx_proc_medi,0.003928182,0.043823608,0.024348192
diag_209.79,Secondary neuroendocrine tumor of other sites,dx_proc_medi,0.001683881,0.028112809,-0.002070885
diag_214.9,"Lipoma, unspecified site",dx_proc_medi,0.001246543,0.019547343,-0.005383747
diag_216.6,"Benign neoplasm of skin of upper limb, including shoulder",dx_proc_medi,0.000955858,0.016935929,0.001364612
diag_216.9,"Benign neoplasm of skin, site unspecified",dx_proc_medi,0.006182959,0.043671539,0.014302011
diag_233.0,Carcinoma in situ of breast,dx_proc_medi,0.005601588,0.045025738,0.007438052
diag_235.2,"Neoplasm of uncertain behavior of stomach, intestines, and rectum",dx_proc_medi,0.002168357,0.029771478,0.015190891
diag_239.4,Neoplasm of unspecified nature of bladder,dx_proc_medi,0.001458665,0.02588279,-0.004464079
diag_239.6,Neoplasm of unspecified nature of brain,dx_proc_medi,0.006319136,0.061762428,0.004717541
diag_239.7,Neoplasm of unspecified nature of endocrine glands and other parts of nervous system,dx_proc_medi,0.001914334,0.029340463,0.021264987
diag_241.0,Nontoxic uninodular goiter,dx_proc_medi,0.0073038,0.049516187,-0.000579849
diag_241.1,Nontoxic multinodular goiter,dx_proc_medi,0.005394704,0.041751193,0.001562483
diag_242.00,Toxic diffuse goiter without mention of thyrotoxic crisis or storm,dx_proc_medi,0.0012963,0.021965156,0.003940944
diag_246.8,Other specified disorders of thyroid,dx_proc_medi,0.000903482,0.018295244,-0.013933965
diag_250,NA,dx_proc_medi,0.001757207,0.032160219,0.001508917
diag_250.60,"Diabetes with neurological manifestations, type II or unspecified type, not stated as uncontrolled",dx_proc_medi,0.001099891,0.019838663,0.004557259
diag_259.2,Carcinoid syndrome,dx_proc_medi,0.002328103,0.031077693,0.008652877
diag_268.9,Unspecified vitamin D deficiency,dx_proc_medi,0.0077359,0.051337546,0.001761684
diag_275.42,Hypercalcemia,dx_proc_medi,0.003362524,0.04339046,-0.01093017
diag_276.1,Hyposmolality and/or hyponatremia,dx_proc_medi,0.009817837,0.073311568,-0.010377679
diag_276.51,Dehydration,dx_proc_medi,0.010802501,0.070581579,0.004908005
diag_278.00,"Obesity, unspecified",dx_proc_medi,0.01221141,0.07269484,0.001978864
diag_281.1,Other vitamin B12 deficiency anemia,dx_proc_medi,0.000882532,0.020854784,-0.005067048
diag_285.3,Antineoplastic chemotherapy induced anemia,dx_proc_medi,0.003726536,0.041442241,0.00382921
diag_285.9,"Anemia, unspecified",dx_proc_medi,0.037197268,0.124447787,-0.000801363
diag_298.9,Unspecified psychosis,dx_proc_medi,0.002833529,0.037314449,-0.007709519
diag_305.00,"Alcohol abuse, unspecified",dx_proc_medi,0.00246428,0.03566824,0.000212898
diag_307.9,"Other and unspecified special symptoms or syndromes, not elsewhere classified",dx_proc_medi,0.000468763,0.017110149,-0.010173506
diag_331.4,Obstructive hydrocephalus,dx_proc_medi,0.000916576,0.023530582,-0.001199692
diag_333.94,Restless legs syndrome (RLS),dx_proc_medi,0.001979804,0.028675914,0.011146839
diag_338.3,Neoplasm related pain (acute) (chronic),dx_proc_medi,0.014814485,0.091790404,-0.01886066
diag_338.4,Chronic pain syndrome,dx_proc_medi,0.001293681,0.024494754,0.010332293
diag_346.90,"Migraine, unspecified, without mention of intractable migraine without mention of status migrainosus",dx_proc_medi,0.004315763,0.041884291,-0.002103441
diag_355.9,Mononeuritis of unspecified site,dx_proc_medi,0.009197184,0.058592654,0.014441757
diag_366.9,Unspecified cataract,dx_proc_medi,0.008076343,0.050024939,-0.003150066
diag_372.30,"Conjunctivitis, unspecified",dx_proc_medi,0.000911338,0.01521798,-0.023269221
diag_375.15,"Tear film insufficiency, unspecified",dx_proc_medi,0.004014602,0.037682369,0.0020029
diag_379.21,Vitreous degeneration,dx_proc_medi,0.003805099,0.034522464,0.006245332
diag_382.9,Unspecified otitis media,dx_proc_medi,0.001291063,0.020516825,0.005418404
diag_401.1,Benign essential hypertension,dx_proc_medi,0.008317271,0.057078835,-0.012093834
diag_401.9,Unspecified essential hypertension,dx_proc_medi,0.085241557,0.186984349,-0.016835736
diag_414.00,"Coronary atherosclerosis of unspecified type of vessel, native or graft",dx_proc_medi,0.013793158,0.078814364,-0.012669031
diag_415.19,Other pulmonary embolism and infarction,dx_proc_medi,0.012355443,0.081332322,-0.013983065
diag_424.0,Mitral valve disorders,dx_proc_medi,0.005211389,0.043486823,0.005111524
diag_426.2,Left bundle branch hemiblock,dx_proc_medi,0.002642357,0.0367674,-0.010218377
diag_426.9,"Conduction disorder, unspecified",dx_proc_medi,0.001568654,0.025647637,-0.004951791
diag_427.31,Atrial fibrillation,dx_proc_medi,0.015003038,0.084734054,-0.011531933
diag_427.32,Atrial flutter,dx_proc_medi,0.001937903,0.029710341,-0.006071202
diag_427.61,Supraventricular premature beats,dx_proc_medi,0.004205774,0.042199103,-0.006484173
diag_427.81,Sinoatrial node dysfunction,dx_proc_medi,0.003145165,0.036486365,0.011293031
diag_428.0,"Congestive heart failure, unspecified",dx_proc_medi,0.00674338,0.054531297,-0.000423916
diag_440.0,Atherosclerosis of aorta,dx_proc_medi,0.002933043,0.036687402,-0.001639971
diag_441.4,Abdominal aneurysm without mention of rupture,dx_proc_medi,0.001725781,0.026093155,0.002591324
diag_443.9,"Peripheral vascular disease, unspecified",dx_proc_medi,0.003611309,0.038111649,-0.012438603
diag_453.2,Other venous embolism and thrombosis of inferior vena cava,dx_proc_medi,0.001000377,0.020904344,0.003558982
diag_453.40,Acute venous embolism and thrombosis of unspecified deep vessels of lower extremity,dx_proc_medi,0.012153796,0.07432532,-0.015045807
diag_453.41,Acute venous embolism and thrombosis of deep vessels of proximal lower extremity,dx_proc_medi,0.002689496,0.037548081,0.000705839
diag_453.42,Acute venous embolism and thrombosis of deep vessels of distal lower extremity,dx_proc_medi,0.001089416,0.023923373,-0.006075689
diag_453.89,Acute venous embolism and thrombosis of other specified veins,dx_proc_medi,0.001791251,0.027248695,-0.013887378
diag_457.1,Other lymphedema,dx_proc_medi,0.005378991,0.045798717,0.011599129
diag_458.0,Orthostatic hypotension,dx_proc_medi,0.001602698,0.025330876,-0.010527158
diag_477.9,"Allergic rhinitis, cause unspecified",dx_proc_medi,0.01190763,0.063535914,0.01119628
diag_478.79,"Other diseases of larynx, not elsewhere classified",dx_proc_medi,0.001047515,0.017788501,-0.005527191
diag_487.1,Influenza with other respiratory manifestations,dx_proc_medi,0.001149648,0.021122589,0.003525777
diag_496,"Chronic airway obstruction, not elsewhere classified",dx_proc_medi,0.008778178,0.067659735,-0.012203123
diag_508.0,Acute pulmonary manifestations due to radiation,dx_proc_medi,0.001353914,0.022809819,0.013819977
diag_511.81,Malignant pleural effusion,dx_proc_medi,0.009440732,0.079288334,-0.004933051
diag_511.9,Unspecified pleural effusion,dx_proc_medi,0.039517514,0.137863443,-0.01793311
diag_512.1,Iatrogenic pneumothorax,dx_proc_medi,0.001285825,0.024701438,0.011748828
diag_518.4,"Acute edema of lung, unspecified",dx_proc_medi,0.000704454,0.016714866,0.005944726
diag_525.9,Unspecified disorder of the teeth and supporting structures,dx_proc_medi,0.001084178,0.020584532,0.003767459
diag_528.9,Other and unspecified diseases of the oral soft tissues,dx_proc_medi,0.00369511,0.036783505,-0.002147341
diag_530.11,Reflux esophagitis,dx_proc_medi,0.002220732,0.026841622,-0.01259622
diag_533.90,"Peptic ulcer of unspecified site, unspecified as acute or chronic, without mention of hemorrhage or perforation, without mention of obstruction",dx_proc_medi,0.005276858,0.049687443,-0.002314501
diag_535.50,"Unspecified gastritis and gastroduodenitis, without mention of hemorrhage",dx_proc_medi,0.003187065,0.034736107,-0.017968392
diag_537.0,Acquired hypertrophic pyloric stenosis,dx_proc_medi,0.00153461,0.032641322,-0.003295524
diag_537.3,Other obstruction of duodenum,dx_proc_medi,0.000848487,0.023519222,0.001342708
diag_553.9,Hernia of unspecified site without mention of obstruction or gangrene,dx_proc_medi,0.002432854,0.030538328,-0.004464939
diag_560.1,Paralytic ileus,dx_proc_medi,0.002178832,0.028661479,0.000195754
diag_564.00,"Constipation, unspecified",dx_proc_medi,0.020463211,0.096952302,-0.001397343
diag_564.89,Other functional disorders of intestine,dx_proc_medi,0.001550323,0.023788097,-0.004169545
diag_569.89,Other specified disorders of intestine,dx_proc_medi,0.005795378,0.050944574,0.012157922
diag_571.5,Cirrhosis of liver without mention of alcohol,dx_proc_medi,0.003943895,0.04261025,-0.00497383
diag_571.8,Other chronic nonalcoholic liver disease,dx_proc_medi,0.007316894,0.05027856,0.024572592
diag_572.8,Other sequelae of chronic liver disease,dx_proc_medi,0.001301538,0.024554404,0.007876808
diag_573.8,Other specified disorders of liver,dx_proc_medi,0.035921918,0.128056817,-0.021332655
diag_575.8,Other specified disorders of gallbladder,dx_proc_medi,0.001924809,0.031241787,-0.002283077
diag_576.8,Other specified disorders of biliary tract,dx_proc_medi,0.00665696,0.062094406,0.001587975
diag_577.2,Cyst and pseudocyst of pancreas,dx_proc_medi,0.002260014,0.029967431,0.00431606
diag_577.8,Other specified diseases of pancreas,dx_proc_medi,0.010181849,0.078066299,-0.006848388
diag_577.9,Unspecified disease of pancreas,dx_proc_medi,0.004716438,0.053406017,-0.009495993
diag_584.9,"Acute kidney failure, unspecified",dx_proc_medi,0.010517054,0.074567939,-0.014886972
diag_586,"Renal failure, unspecified",dx_proc_medi,0.002364766,0.032606761,-0.006743827
diag_591,Hydronephrosis,dx_proc_medi,0.009485251,0.066911858,-0.004518309
diag_592.0,Calculus of kidney,dx_proc_medi,0.008209901,0.055798236,0.001619532
diag_592.1,Calculus of ureter,dx_proc_medi,0.0012963,0.021589364,-0.001441696
diag_593.9,Unspecified disorder of kidney and ureter,dx_proc_medi,0.019250712,0.091049822,-0.001891863
diag_596.89,Other specified disorders of bladder,dx_proc_medi,0.002422379,0.032055754,-0.005142852
diag_600.00,Hypertrophy (benign) of prostate without urinary obstruction and other lower urinary tract symptom (LUTS),dx_proc_medi,0.010917728,0.070698252,0.000780963
diag_607.84,Impotence of organic origin,dx_proc_medi,0.005559687,0.042053831,0.003672306
diag_611.72,Lump or mass in breast,dx_proc_medi,0.011365541,0.063271418,-0.005166577
diag_623.8,Other specified noninflammatory disorders of vagina,dx_proc_medi,0.003016844,0.036258738,-0.00537172
diag_625.9,Unspecified symptom associated with female genital organs,dx_proc_medi,0.003194922,0.035096336,-0.004666963
diag_626.2,Excessive or frequent menstruation,dx_proc_medi,0.001487472,0.023487468,0.016781528
diag_686.9,Unspecified local infection of skin and subcutaneous tissue,dx_proc_medi,0.003731773,0.036475941,-0.001822083
diag_692.82,Dermatitis due to other radiation,dx_proc_medi,0.001778157,0.023037873,-0.006027143
diag_695.89,Other specified erythematous conditions,dx_proc_medi,0.001754588,0.024916816,0.006629779
diag_707.9,Chronic ulcer of unspecified site,dx_proc_medi,0.001896003,0.026535499,0.001573076
diag_709.09,Other dyschromia,dx_proc_medi,0.004391708,0.037622885,-0.001921205
diag_715.36,"Osteoarthrosis, localized, not specified whether primary or secondary, lower leg",dx_proc_medi,0.00231239,0.023788149,0.004385904
diag_719.40,"Pain in joint, site unspecified",dx_proc_medi,0.002589982,0.029522332,0.011797736
diag_719.47,"Pain in joint, ankle and foot",dx_proc_medi,0.003721298,0.034889966,0.007632657
diag_721.3,Lumbosacral spondylosis without myelopathy,dx_proc_medi,0.012397344,0.069180887,-0.00105926
diag_721.90,"Spondylosis of unspecified site, without mention of myelopathy",dx_proc_medi,0.002553319,0.03119671,-0.004566323
diag_723.0,Spinal stenosis in cervical region,dx_proc_medi,0.002254777,0.02967143,0.007996787
diag_724.2,Lumbago,dx_proc_medi,0.018813375,0.084640081,0.001458063
diag_724.3,Sciatica,dx_proc_medi,0.003776293,0.037979476,0.005056261
diag_724.5,"Backache, unspecified",dx_proc_medi,0.020214426,0.093749072,-0.0060499
diag_726.0,Adhesive capsulitis of shoulder,dx_proc_medi,0.001298919,0.020950511,-0.004389024
diag_726.2,"Other affections of shoulder region, not elsewhere classified",dx_proc_medi,0.001094653,0.017071945,0.023335643
diag_726.5,Enthesopathy of hip region,dx_proc_medi,0.001775538,0.021683944,0.006110224
diag_729.89,Other musculoskeletal symptoms referable to limbs,dx_proc_medi,0.006837656,0.059662762,-0.008887779
diag_733.13,Pathologic fracture of vertebrae,dx_proc_medi,0.006300804,0.058433565,-0.00764045
diag_738.5,Other acquired deformity of back or spine,dx_proc_medi,0.001869815,0.029526831,-0.001483183
diag_780.39,Other convulsions,dx_proc_medi,0.004627399,0.04918303,-0.004849029
diag_780.52,"Insomnia, unspecified",dx_proc_medi,0.015338243,0.074291306,0.008157131
diag_780.60,"Fever, unspecified",dx_proc_medi,0.020303465,0.088812675,0.020037312
diag_780.79,Other malaise and fatigue,dx_proc_medi,0.034790602,0.122368512,-0.012342661
diag_780.99,Other general symptoms,dx_proc_medi,0.004425752,0.042793005,0.011609838
diag_782.0,Disturbance of skin sensation,dx_proc_medi,0.010519672,0.06465716,0.001882644
diag_782.2,"Localized superficial swelling, mass, or lump",dx_proc_medi,0.010192324,0.066739175,-0.002307384
diag_782.4,"Jaundice, unspecified, not of newborn",dx_proc_medi,0.005200913,0.0590927,-0.02003898
diag_783.0,Anorexia,dx_proc_medi,0.007840652,0.063144048,-0.008395034
diag_783.1,Abnormal weight gain,dx_proc_medi,0.00179387,0.022894115,0.007213808
diag_783.21,Loss of weight,dx_proc_medi,0.010750126,0.075366707,-0.023741296
diag_784.0,Headache,dx_proc_medi,0.017100687,0.083436263,0.003844801
diag_785.0,"Tachycardia, unspecified",dx_proc_medi,0.010894159,0.070123085,0.002165769
diag_785.6,Enlargement of lymph nodes,dx_proc_medi,0.045234329,0.139455682,-0.032866992
diag_786.05,Shortness of breath,dx_proc_medi,0.030354374,0.122783579,-0.004229756
diag_786.09,Other respiratory abnormalities,dx_proc_medi,0.019399983,0.096365526,0.000491605
diag_786.50,"Chest pain, unspecified",dx_proc_medi,0.023328166,0.098088113,-0.004699909
diag_786.51,Precordial pain,dx_proc_medi,0.003040413,0.031445851,0.008551147
diag_786.6,"Swelling, mass, or lump in chest",dx_proc_medi,0.029037124,0.125173101,-0.010305681
diag_787.02,Nausea alone,dx_proc_medi,0.019394746,0.089289085,0.000402495
diag_787.03,Vomiting alone,dx_proc_medi,0.005515168,0.048450414,-0.001399212
diag_788.20,"Retention of urine, unspecified",dx_proc_medi,0.005111875,0.048183113,-0.000434404
diag_788.21,Incomplete bladder emptying,dx_proc_medi,0.00198766,0.026497924,-0.006503447
diag_788.29,Other specified retention of urine,dx_proc_medi,0.001500566,0.026132141,-0.013073439
diag_788.31,Urge incontinence,dx_proc_medi,0.002021705,0.024988435,-0.002648578
diag_788.99,Other symptoms involving urinary system,dx_proc_medi,0.0016865,0.02680731,-0.008650462
diag_789.00,"Abdominal pain, unspecified site",dx_proc_medi,0.027599409,0.113757438,-0.008919248
diag_789.02,"Abdominal pain, left upper quadrant",dx_proc_medi,0.00220502,0.031696699,0.003324026
diag_789.07,"Abdominal pain, generalized",dx_proc_medi,0.013725069,0.084413095,-0.011682853
diag_789.1,Hepatomegaly,dx_proc_medi,0.001898621,0.03218271,-0.007936556
diag_789.31,"Abdominal or pelvic swelling, mass, or lump, right upper quadrant",dx_proc_medi,0.000913957,0.02125765,-0.001428573
diag_789.39,"Abdominal or pelvic swelling, mass, or lump, other specified site",dx_proc_medi,0.013397721,0.082415836,-0.009117932
diag_789.51,Malignant ascites,dx_proc_medi,0.00436552,0.053558226,0.005350693
diag_789.59,Other ascites,dx_proc_medi,0.018876226,0.096574622,0.000383978
diag_790.92,Abnormal coagulation profile,dx_proc_medi,0.001173217,0.023560901,-0.003047367
diag_793.11,Solitary pulmonary nodule,dx_proc_medi,0.033360743,0.11523996,0.009468074
diag_799.4,Cachexia,dx_proc_medi,0.001267494,0.028070592,-0.013151942
diag_799.81,Decreased libido,dx_proc_medi,0.001610555,0.023007553,0.016363567
diag_820.8,Closed fracture of unspecified part of neck of femur,dx_proc_medi,0.001586986,0.028147535,0.008423402
diag_958.3,Posttraumatic wound infection not elsewhere classified,dx_proc_medi,0.001212499,0.021426834,-0.00098787
diag_959.01,"Head injury, unspecified",dx_proc_medi,0.002411904,0.032713565,-0.000724639
diag_959.7,"Knee, leg, ankle, and foot injury",dx_proc_medi,0.00142724,0.02271906,0.012961896
diag_997.5,"Urinary complications, not elsewhere classified",dx_proc_medi,0.000913957,0.021334507,-0.000178529
diag_998.59,Other postoperative infection,dx_proc_medi,0.004323619,0.038601239,0.002282721
diag_999.9,"Other and unspecified complications of medical care, not elsewhere classified",dx_proc_medi,0.001346057,0.023579441,-0.002669096
diag_E819.9,Motor vehicle traffic accident of unspecified nature injuring unspecified person,dx_proc_medi,0.0021605,0.028634301,0.017986206
diag_E928.9,Unspecified accident,dx_proc_medi,0.000982046,0.020422039,0.008876468
diag_V10.05,Personal history of malignant neoplasm of large intestine,dx_proc_medi,0.010854877,0.069981987,0.004650101
diag_V10.43,Personal history of malignant neoplasm of ovary,dx_proc_medi,0.004664062,0.044826824,0.0076838
diag_V10.47,Personal history of malignant neoplasm of testis,dx_proc_medi,0.001985041,0.023988883,0.023576563
diag_V10.51,Personal history of malignant neoplasm of bladder,dx_proc_medi,0.003218491,0.038514058,-0.003335297
diag_V10.52,Personal history of malignant neoplasm of kidney,dx_proc_medi,0.005719434,0.050068533,0.002309112
diag_V10.82,Personal history of malignant melanoma of skin,dx_proc_medi,0.005266383,0.049622631,0.001553543
diag_V10.89,Personal history of malignant neoplasm of other sites,dx_proc_medi,0.006065114,0.050522681,-0.004548983
diag_V12.09,Personal history of other infectious and parasitic diseases,dx_proc_medi,0.002296677,0.031310888,0.000189737
diag_V12.51,Personal history of venous thrombosis and embolism,dx_proc_medi,0.00185934,0.029069404,-0.007468968
diag_V12.59,Personal history of other diseases of circulatory system,dx_proc_medi,0.001670787,0.026476552,0.002045673
diag_V12.69,Personal history of other diseases of respiratory system,dx_proc_medi,0.001545085,0.024143568,0.007081726
diag_V15.08,Allergy to radiographic dye,dx_proc_medi,0.004582879,0.043384347,0.010845037
diag_V15.82,Personal history of tobacco use,dx_proc_medi,0.007146673,0.055415232,0.000228626
diag_V26.33,Genetic counseling,dx_proc_medi,0.006903126,0.045219008,-0.004818105
diag_V42.82,Peripheral stem cells replaced by transplant,dx_proc_medi,0.001364389,0.021990823,0.008995711
diag_V43.82,Breast replacement,dx_proc_medi,0.001935285,0.025902123,0.002643105
diag_V44.3,Colostomy status,dx_proc_medi,0.00120988,0.02358682,0.000398174
diag_V45.77,"Acquired absence of organ, genital organs",dx_proc_medi,0.001744113,0.023427925,0.015417697
diag_V49.86,Do not resuscitate status,dx_proc_medi,0.000552564,0.018201613,-0.004617611
diag_V49.89,Other specified conditions influencing health status,dx_proc_medi,0.010862734,0.072284049,-0.004374799
diag_V58.12,Encounter for antineoplastic immunotherapy,dx_proc_medi,0.004121973,0.040238008,0.004236921
diag_V58.32,Encounter for removal of sutures,dx_proc_medi,0.001327726,0.01825143,0.01052353
diag_V58.61,Long-term (current) use of anticoagulants,dx_proc_medi,0.003802481,0.038600971,0.002347581
diag_V58.81,Fitting and adjustment of vascular catheter,dx_proc_medi,0.032802941,0.112802156,-0.003325323
diag_V62.89,"Other psychological or physical stress, not elsewhere classified",dx_proc_medi,0.00127535,0.020357639,0.012701327
diag_V65.49,Other specified counseling,dx_proc_medi,0.014408573,0.089243049,-0.025401805
diag_V66.7,Encounter for palliative care,dx_proc_medi,0.010234224,0.083384021,-0.033747967
diag_V67.00,"Follow-up examination, following surgery, unspecified",dx_proc_medi,0.008717946,0.046638753,0.016553607
diag_V68.1,Issue of repeat prescriptions,dx_proc_medi,0.004145542,0.033744365,0.010122368
diag_V70.0,Routine general medical examination at a health care facility,dx_proc_medi,0.020052062,0.074932691,-0.000220618
diag_V72.83,Other specified pre-operative examination,dx_proc_medi,0.039108983,0.126679888,0.003842454
diag_V76.51,Special screening for malignant neoplasms of colon,dx_proc_medi,0.010941297,0.056181777,-0.004252699
diag_V82.81,Special screening for osteoporosis,dx_proc_medi,0.006023213,0.040087536,0.012712082
diag_V87.49,Personal history of other drug therapy,dx_proc_medi,0.001869815,0.025595489,0.004604678
diag_V88.01,Acquired absence of both cervix and uterus,dx_proc_medi,0.00306922,0.034439174,0.004745565
hosp_disch,NA,dx_proc_medi,0.118837991,0.211131921,0.00614852
medi_ACETAMINOPHEN-CODEINE,NA,dx_proc_medi,0.010841783,0.070906417,-0.012083494
medi_ADVAIR,NA,dx_proc_medi,0.007984685,0.065640225,0.000420226
medi_AFATINIB,NA,dx_proc_medi,0.000906101,0.024148887,-0.008144743
medi_AFINITOR,NA,dx_proc_medi,0.003755342,0.046625047,-0.018217478
medi_ALBUTEROL,NA,dx_proc_medi,0.031176674,0.130008564,-0.000289422
medi_ALPHAGAN,NA,dx_proc_medi,0.000636366,0.016678388,-0.007872328
medi_ALUM-MAG,NA,dx_proc_medi,0.030621491,0.118725758,0.009181784
medi_ALVIMOPAN,NA,dx_proc_medi,0.00538161,0.054574621,0.000493789
medi_AMIFOSTINE,NA,dx_proc_medi,7.59448587949384e-05,0.003662721,0.006764325
medi_AMIODARONE,NA,dx_proc_medi,0.006468407,0.060012906,-0.012566261
medi_ANASTROZOLE,NA,dx_proc_medi,0.009390975,0.069374864,0.011287539
medi_ANDROGEL,NA,dx_proc_medi,0.001586986,0.026245791,-0.002341068
