feature_name,description,feature_category,coefficient (negative=shorter survival),train_set_mean,train_set_std_dev
diag_198.7,Secondary malignant neoplasm of adrenal gland,dx_proc_medi,-0.005616074,0.003611205,0.046144927
diag_198.89,Secondary malignant neoplasm of other specified sites,dx_proc_medi,-0.002588764,0.021616605,0.106885578
diag_199,Malignant neoplasm without specification of site,dx_proc_medi,0.001990272,0.003644954,0.045125359
diag_199.1,Other malignant neoplasm without specification of site,dx_proc_medi,-0.002844574,0.072657217,0.184569515
diag_203.00,"Multiple myeloma, without mention of having achieved remission",dx_proc_medi,0.021875406,0.003043087,0.034540821
diag_204.10,"Chronic lymphoid leukemia, without mention of having achieved remission",dx_proc_medi,-0.005119158,0.001344358,0.025563588
diag_209.29,Malignant carcinoid tumor of other sites,dx_proc_medi,0.008889802,0.00261278,0.032201699
diag_209.60,Benign carcinoid tumor of unknown primary site,dx_proc_medi,0.021939205,0.008943638,0.063035516
diag_209.72,Secondary neuroendocrine tumor of liver,dx_proc_medi,0.009387414,0.004367758,0.045661778
diag_214.9,"Lipoma, unspecified site",dx_proc_medi,0.00606796,0.00119811,0.018692767
diag_216.9,"Benign neoplasm of skin, site unspecified",dx_proc_medi,0.012368956,0.005509619,0.04069482
diag_233.0,Carcinoma in situ of breast,dx_proc_medi,0.011765647,0.005442119,0.044681234
diag_235.2,"Neoplasm of uncertain behavior of stomach, intestines, and rectum",dx_proc_medi,0.015168569,0.002112161,0.029825342
diag_237.5,Neoplasm of uncertain behavior of brain and spinal cord,dx_proc_medi,0.019290367,0.001079987,0.022984345
diag_238.79,Other lymphatic and hematopoietic tissues,dx_proc_medi,0.010401675,0.004646192,0.043718181
diag_238.9,"Neoplasm of uncertain behavior, site unspecified",dx_proc_medi,0.005552445,0.00323996,0.032799653
diag_239.4,Neoplasm of unspecified nature of bladder,dx_proc_medi,-0.0023703,0.001473732,0.02658137
diag_241.0,Nontoxic uninodular goiter,dx_proc_medi,0.004641385,0.007121161,0.04813922
diag_241.1,Nontoxic multinodular goiter,dx_proc_medi,-0.001166819,0.005267747,0.041445589
diag_250,Diabetes mellitus,dx_proc_medi,-0.011563024,0.001906851,0.033297053
diag_250.00,"Diabetes mellitus without mention of complication, type II or unspecified type, not stated as uncontrolled",dx_proc_medi,-0.012260631,0.032692091,0.124488346
diag_250.60,"Diabetes with neurological manifestations, type II or unspecified type, not stated as uncontrolled",dx_proc_medi,0.008293103,0.00138092,0.024212595
diag_259.2,Carcinoid syndrome,dx_proc_medi,0.006880957,0.002646529,0.032740307
diag_268.9,Unspecified vitamin D deficiency,dx_proc_medi,0.002828433,0.007835527,0.05129168
diag_275.42,Hypercalcemia,dx_proc_medi,-0.003759555,0.003509956,0.044619035
diag_276.1,Hyposmolality and/or hyponatremia,dx_proc_medi,-0.004337664,0.009967375,0.074871466
diag_276.7,Hyperpotassemia,dx_proc_medi,-0.005630132,0.003256834,0.040518096
diag_276.9,Electrolyte and fluid disorders not elsewhere classified,dx_proc_medi,-0.007164507,0.0010378,0.021801014
diag_277.4,Disorders of bilirubin excretion,dx_proc_medi,0.000259219,0.001473732,0.029478621
diag_285.3,Antineoplastic chemotherapy induced anemia,dx_proc_medi,-0.010813626,0.003937451,0.04331142
diag_285.9,"Anemia, unspecified",dx_proc_medi,0.004495689,0.03837327,0.126532512
diag_288.00,"Neutropenia, unspecified",dx_proc_medi,0.011174612,0.009528631,0.058803339
diag_298.9,Unspecified psychosis,dx_proc_medi,-0.007885748,0.002593093,0.036688847
diag_305.00,"Alcohol abuse, unspecified",dx_proc_medi,-0.012444223,0.002815277,0.039528272
diag_333.94,Restless legs syndrome (RLS),dx_proc_medi,0.008494184,0.001904039,0.028204011
diag_338.3,Neoplasm related pain (acute) (chronic),dx_proc_medi,-0.022430493,0.013837327,0.088505331
diag_345.50,"Localization-related (focal) (partial) epilepsy and epileptic syndromes with simple partial seizures, without mention of intractable epilepsy",dx_proc_medi,-0.001561135,0.000717179,0.02025974
diag_346.90,"Migraine, unspecified, without mention of intractable migraine without mention of status migrainosus",dx_proc_medi,-0.002403472,0.00440432,0.042718565
diag_357.6,Polyneuropathy due to drugs,dx_proc_medi,0.002838162,0.003335583,0.036233158
diag_375.15,"Tear film insufficiency, unspecified",dx_proc_medi,0.001137046,0.003706829,0.035530485
diag_379.21,Vitreous degeneration,dx_proc_medi,0.007217854,0.003712454,0.035420888
diag_382.9,Unspecified otitis media,dx_proc_medi,-0.004614607,0.001299359,0.020583901
diag_386.11,Benign paroxysmal positional vertigo,dx_proc_medi,0.004308646,0.001735291,0.025284094
diag_401.1,Benign essential hypertension,dx_proc_medi,-0.007894418,0.008412082,0.056969154
diag_401.9,Unspecified essential hypertension,dx_proc_medi,-0.0160871,0.086109236,0.188237756
diag_415.19,Other pulmonary embolism and infarction,dx_proc_medi,0.00020057,0.011846102,0.080140855
diag_424.0,Mitral valve disorders,dx_proc_medi,0.007953394,0.004848689,0.041594014
diag_426.2,Left bundle branch hemiblock,dx_proc_medi,-0.004284224,0.002609967,0.03542003
diag_427.31,Atrial fibrillation,dx_proc_medi,-0.014720235,0.015831365,0.087044868
diag_427.32,Atrial flutter,dx_proc_medi,-0.012324867,0.001943413,0.029445417
diag_431,Intracerebral hemorrhage,dx_proc_medi,-0.001766322,0.002067162,0.036736591
diag_434.11,Cerebral embolism with cerebral infarction,dx_proc_medi,-0.007151201,0.001088424,0.024573295
diag_437.3,"Cerebral aneurysm, nonruptured",dx_proc_medi,0.006363569,0.001605917,0.027220698
diag_441.4,Abdominal aneurysm without mention of rupture,dx_proc_medi,0.001665537,0.001653729,0.026022655
diag_443.9,"Peripheral vascular disease, unspecified",dx_proc_medi,-0.018093027,0.003794015,0.04011798
diag_452,Portal vein thrombosis,dx_proc_medi,0.004802285,0.00163123,0.027825932
diag_453.40,Acute venous embolism and thrombosis of unspecified deep vessels of lower extremity,dx_proc_medi,-0.004963725,0.012473282,0.076472054
diag_453.42,Acute venous embolism and thrombosis of deep vessels of distal lower extremity,dx_proc_medi,-0.00361535,0.001051862,0.022490895
diag_453.89,Acute venous embolism and thrombosis of other specified veins,dx_proc_medi,-0.010398699,0.001794353,0.027549197
diag_456.1,Esophageal varices without mention of bleeding,dx_proc_medi,0.011767659,0.000843739,0.015931609
diag_457.1,Other lymphedema,dx_proc_medi,-0.003553868,0.005338058,0.045984816
diag_459.89,Other specified disorders of circulatory system,dx_proc_medi,0.003025331,0.00100405,0.021362794
diag_477.9,"Allergic rhinitis, cause unspecified",dx_proc_medi,0.014069493,0.011567668,0.06286771
diag_478.29,"Other diseases of pharynx, not elsewhere classified",dx_proc_medi,-8.70E-06,0.001141861,0.023270193
diag_478.79,"Other diseases of larynx, not elsewhere classified",dx_proc_medi,-0.007709959,0.001043424,0.018119636
diag_496,"Chronic airway obstruction, not elsewhere classified",dx_proc_medi,-0.014453237,0.008634267,0.066708337
diag_511.81,Malignant pleural effusion,dx_proc_medi,-0.00145842,0.008788953,0.076418772
diag_511.9,Unspecified pleural effusion,dx_proc_medi,-0.013633648,0.039354821,0.137733765
diag_518.82,"Other pulmonary insufficiency, not elsewhere classified",dx_proc_medi,0.010940398,0.001282484,0.024035869
diag_530.11,Reflux esophagitis,dx_proc_medi,-0.014376431,0.002376533,0.029864359
diag_533.90,"Peptic ulcer of unspecified site, unspecified as acute or chronic, without mention of hemorrhage or perforation, without mention of obstruction",dx_proc_medi,0.004411909,0.005506806,0.050810942
diag_535.50,"Unspecified gastritis and gastroduodenitis, without mention of hemorrhage",dx_proc_medi,-0.017528739,0.003324333,0.035981045
diag_536.2,Persistent vomiting,dx_proc_medi,0.001662415,0.001091236,0.024921217
diag_537.0,Acquired hypertrophic pyloric stenosis,dx_proc_medi,-0.010407727,0.001532793,0.032455809
diag_537.3,Other obstruction of duodenum,dx_proc_medi,-0.00771928,0.00100405,0.025818612
diag_553.20,"Ventral, unspecified, hernia without mention of obstruction or gangrene",dx_proc_medi,0.00858698,0.004179323,0.039687422
diag_553.21,Incisional hernia without mention of obstruction or gangrene,dx_proc_medi,0.002256289,0.00259028,0.030022742
diag_553.9,Hernia of unspecified site without mention of obstruction or gangrene,dx_proc_medi,-0.008589566,0.002289346,0.029282802
diag_564.00,"Constipation, unspecified",dx_proc_medi,-0.010407102,0.020474744,0.096948954
diag_568.0,Peritoneal adhesions (postoperative) (postinfection),dx_proc_medi,0.015059343,0.004319946,0.043558349
diag_569.49,Other specified disorders of rectum and anus,dx_proc_medi,0.010436396,0.002114974,0.028220139
diag_569.81,"Fistula of intestine, excluding rectum and anus",dx_proc_medi,0.003012234,0.001065924,0.022544877
diag_569.83,Perforation of intestine,dx_proc_medi,0.002712512,0.000967488,0.021892746
diag_570,Acute and subacute necrosis of liver,dx_proc_medi,0.01709621,0.001372483,0.024060139
diag_571.5,Cirrhosis of liver without mention of alcohol,dx_proc_medi,0.000207419,0.004184948,0.044851751
diag_571.8,Other chronic nonalcoholic liver disease,dx_proc_medi,0.023428673,0.007959276,0.054997603
diag_573.8,Other specified disorders of liver,dx_proc_medi,-0.020069148,0.036401732,0.129493455
diag_573.9,Unspecified disorder of liver,dx_proc_medi,-0.014073131,0.012214535,0.078679428
diag_575.8,Other specified disorders of gallbladder,dx_proc_medi,-0.001106202,0.001940601,0.029878207
diag_576.2,Obstruction of bile duct,dx_proc_medi,-0.005927324,0.005315559,0.0584071
diag_577.2,Cyst and pseudocyst of pancreas,dx_proc_medi,0.001373576,0.002162785,0.029489784
diag_577.8,Other specified diseases of pancreas,dx_proc_medi,-0.02049559,0.01057768,0.079877007
diag_577.9,Unspecified disease of pancreas,dx_proc_medi,-0.010409369,0.004899314,0.05367094
diag_591,Hydronephrosis,dx_proc_medi,-0.015530913,0.009857689,0.069071348
diag_592.1,Calculus of ureter,dx_proc_medi,0.003263571,0.001212172,0.021792014
diag_593.9,Unspecified disorder of kidney and ureter,dx_proc_medi,-0.012144617,0.019240072,0.090311452
diag_596.89,Other specified disorders of bladder,dx_proc_medi,0.003287771,0.002466532,0.03223505
diag_607.84,Impotence of organic origin,dx_proc_medi,0.003768913,0.00556868,0.041967047
diag_611.89,Other specified disorders of breast,dx_proc_medi,0.005778323,0.001774665,0.024461531
diag_621.8,"Other specified disorders of uterus, not elsewhere classified",dx_proc_medi,0.01260733,0.001544043,0.024361997
diag_623.8,Other specified noninflammatory disorders of vagina,dx_proc_medi,-0.004829538,0.003273709,0.037347184
diag_625.0,Dyspareunia,dx_proc_medi,0.011867913,0.001566543,0.02165607
diag_625.9,Unspecified symptom associated with female genital organs,dx_proc_medi,-0.006413494,0.003037462,0.035256543
diag_701.1,"Keratoderma, acquired",dx_proc_medi,-0.001725668,0.002342783,0.028233287
diag_706.8,Other specified diseases of sebaceous glands,dx_proc_medi,-0.001265572,0.00443807,0.037974757
diag_709.09,Other dyschromia,dx_proc_medi,0.00538776,0.003934638,0.034720022
diag_719.07,"Effusion of joint, ankle and foot",dx_proc_medi,0.00016824,0.001020925,0.018881004
diag_721.90,"Spondylosis of unspecified site, without mention of myelopathy",dx_proc_medi,-0.005004793,0.002438407,0.030338256
diag_724.3,Sciatica,dx_proc_medi,0.006018992,0.003524018,0.036548688
diag_726.0,Adhesive capsulitis of shoulder,dx_proc_medi,0.004311432,0.001321858,0.021088658
diag_726.2,"Other affections of shoulder region, not elsewhere classified",dx_proc_medi,0.011654984,0.00116436,0.018160727
diag_726.5,Enthesopathy of hip region,dx_proc_medi,0.006902266,0.001946226,0.023961923
diag_729.89,Other musculoskeletal symptoms referable to limbs,dx_proc_medi,0.004234474,0.006862414,0.060872313
diag_733.0,Osteoporosis,dx_proc_medi,0.00278476,0.001971538,0.026962981
diag_733.13,Pathologic fracture of vertebrae,dx_proc_medi,-0.00611396,0.006055237,0.058072309
diag_738.4,Acquired spondylolisthesis,dx_proc_medi,-0.005326108,0.001124986,0.017771883
diag_739.8,"Nonallopathic lesions, rib cage",dx_proc_medi,0.003715415,0.001400607,0.023660688
diag_756.12,Spondylolisthesis,dx_proc_medi,0.007594227,0.001617167,0.024110636
diag_780.52,"Insomnia, unspecified",dx_proc_medi,0.010792948,0.014785128,0.074092165
diag_780.60,"Fever, unspecified",dx_proc_medi,0.02322369,0.021003487,0.091304744
diag_780.79,Other malaise and fatigue,dx_proc_medi,-0.007369036,0.033836765,0.121733214
diag_782.4,"Jaundice, unspecified, not of newborn",dx_proc_medi,-0.013483209,0.005473057,0.06052117
diag_782.62,Flushing,dx_proc_medi,0.008432291,0.002739341,0.028587608
diag_783.1,Abnormal weight gain,dx_proc_medi,0.007237192,0.001662167,0.021939296
diag_783.21,Loss of weight,dx_proc_medi,-0.009905454,0.011086736,0.077517487
diag_783.7,Adult failure to thrive,dx_proc_medi,0.001335853,0.002348408,0.038110319
diag_785.0,"Tachycardia, unspecified",dx_proc_medi,0.006005189,0.010884239,0.069397427
diag_785.1,Palpitations,dx_proc_medi,0.011046383,0.006626167,0.048580328
diag_785.6,Enlargement of lymph nodes,dx_proc_medi,-0.033533785,0.043700079,0.138403991
diag_786.05,Shortness of breath,dx_proc_medi,-0.014731246,0.029322758,0.121136792
diag_786.09,Other respiratory abnormalities,dx_proc_medi,-0.015263261,0.019141636,0.094153123
diag_786.50,"Chest pain, unspecified",dx_proc_medi,0.000248194,0.022629092,0.096847112
diag_786.51,Precordial pain,dx_proc_medi,0.007918903,0.003099336,0.032522677
diag_786.6,"Swelling, mass, or lump in chest",dx_proc_medi,-0.013672775,0.026465294,0.120702788
diag_787.02,Nausea alone,dx_proc_medi,0.006768766,0.018680391,0.088330455
diag_787.03,Vomiting alone,dx_proc_medi,-0.000605546,0.005633367,0.049850473
diag_788.21,Incomplete bladder emptying,dx_proc_medi,-0.001339312,0.001960288,0.027493169
diag_788.29,Other specified retention of urine,dx_proc_medi,-0.012315087,0.001299359,0.022524826
diag_789.00,"Abdominal pain, unspecified site",dx_proc_medi,-0.00315367,0.027753403,0.114796202
diag_789.02,"Abdominal pain, left upper quadrant",dx_proc_medi,-0.001476946,0.002005287,0.030079171
diag_789.07,"Abdominal pain, generalized",dx_proc_medi,0.002907912,0.013564518,0.08372117
diag_789.1,Hepatomegaly,dx_proc_medi,-0.005853096,0.001957476,0.033973529
diag_789.31,"Abdominal or pelvic swelling, mass, or lump, right upper quadrant",dx_proc_medi,-0.005972666,0.000897176,0.021218957
diag_789.39,"Abdominal or pelvic swelling, mass, or lump, other specified site",dx_proc_medi,-0.004093994,0.013778265,0.083391676
diag_789.51,Malignant ascites,dx_proc_medi,-0.000500894,0.004840252,0.056568615
diag_789.59,Other ascites,dx_proc_medi,0.001027843,0.01959163,0.098125139
diag_790.5,Other nonspecific abnormal serum enzyme levels,dx_proc_medi,-0.010501524,0.004913376,0.04632523
diag_790.7,Bacteremia,dx_proc_medi,0.008585049,0.004103386,0.043688053
diag_790.92,Abnormal coagulation profile,dx_proc_medi,-0.004444874,0.001234672,0.024963861
diag_793.11,Solitary pulmonary nodule,dx_proc_medi,0.006918658,0.031406795,0.112288542
diag_793.89,Other (abnormal) findings on radiological examination of breast,dx_proc_medi,-0.003059442,0.005141186,0.039262162
diag_794.31,Nonspecific abnormal electrocardiogram [ECG] [EKG],dx_proc_medi,-0.007365601,0.0370261,0.129027821
diag_794.4,Nonspecific abnormal results of function study of kidney,dx_proc_medi,0.006511592,0.001904039,0.026267828
diag_799.4,Cachexia,dx_proc_medi,-0.010236155,0.001341546,0.028754525
diag_799.81,Decreased libido,dx_proc_medi,0.02472648,0.001650917,0.02275812
diag_799.89,Other ill-defined conditions,dx_proc_medi,-0.013832445,0.001662167,0.027243143
diag_805.4,Closed fracture of lumbar vertebra without mention of spinal cord injury,dx_proc_medi,-0.007959569,0.002086849,0.031372384
diag_959.01,"Head injury, unspecified",dx_proc_medi,0.006575551,0.002477782,0.032624454
diag_995.3,"Allergy, unspecified, not elsewhere classified",dx_proc_medi,-0.006327306,0.001729666,0.023556973
diag_997.5,"Urinary complications, not elsewhere classified",dx_proc_medi,0.002145379,0.000734053,0.018744888
diag_998.13,Seroma complicating a procedure,dx_proc_medi,0.007699953,0.002176848,0.023839066
diag_998.59,Other postoperative infection,dx_proc_medi,0.001118484,0.004218697,0.037063049
diag_999.9,"Other and unspecified complications of medical care, not elsewhere classified",dx_proc_medi,-0.002864032,0.00120936,0.022420343
diag_E928.9,Unspecified accident,dx_proc_medi,0.008451588,0.000961863,0.021024701
diag_V06.5,Need for prophylactic vaccination and inoculation against tetanus-diphtheria [Td] (DT),dx_proc_medi,-0.002967984,0.000961863,0.014684502
diag_V10.00,"Personal history of malignant neoplasm of gastrointestinal tract, unspecified",dx_proc_medi,0.005030327,0.001074362,0.025062617
diag_V10.05,Personal history of malignant neoplasm of large intestine,dx_proc_medi,0.008831398,0.010451119,0.06856745
diag_V10.47,Personal history of malignant neoplasm of testis,dx_proc_medi,0.03168285,0.001724041,0.021902442
diag_V10.52,Personal history of malignant neoplasm of kidney,dx_proc_medi,0.009079468,0.006060862,0.051137743
diag_V10.89,Personal history of malignant neoplasm of other sites,dx_proc_medi,-0.006556975,0.005253684,0.046745112
diag_V12.29,"Personal history of other endocrine, metabolic, and immunity disorders",dx_proc_medi,0.005852121,0.000880301,0.018474066
diag_V12.51,Personal history of venous thrombosis and embolism,dx_proc_medi,-0.004217952,0.001833727,0.028782354
diag_V12.69,Personal history of other diseases of respiratory system,dx_proc_medi,0.005114784,0.001352796,0.022777785
diag_V26.33,Genetic counseling,dx_proc_medi,-0.005047256,0.006915851,0.045847015
diag_V43.82,Breast replacement,dx_proc_medi,0.00051096,0.001676229,0.023761419
diag_V45.77,"Acquired absence of organ, genital organs",dx_proc_medi,0.015720485,0.001676229,0.023538443
diag_V49.86,Do not resuscitate status,dx_proc_medi,0.000369905,0.000506244,0.016762762
diag_V49.89,Other specified conditions influencing health status,dx_proc_medi,-0.005429142,0.010071437,0.06936563
diag_V54.89,Other orthopedic aftercare,dx_proc_medi,0.009420793,0.002556531,0.029766931
diag_V57.1,Care involving other physical therapy,dx_proc_medi,0.003781901,0.002095286,0.024793217
diag_V58.11,Encounter for antineoplastic chemotherapy,dx_proc_medi,-0.0005421,0.040071999,0.112802688
diag_V58.61,Long-term (current) use of anticoagulants,dx_proc_medi,-0.003108199,0.003779953,0.037925586
diag_V58.81,Fitting and adjustment of vascular catheter,dx_proc_medi,-0.001241831,0.032644279,0.111903634
diag_V65.49,Other specified counseling,dx_proc_medi,-0.02211802,0.013986388,0.088265092
diag_V66.1,Convalescence following radiotherapy,dx_proc_medi,-0.000874665,0.009283946,0.056808833
diag_V66.7,Encounter for palliative care,dx_proc_medi,-0.0313149,0.00996175,0.082652163
diag_V67.00,"Follow-up examination, following surgery, unspecified",dx_proc_medi,0.009605982,0.008597705,0.047577193
diag_V67.09,"Follow-up examination, following other surgery",dx_proc_medi,0.014036958,0.013632017,0.063135633
diag_V68.1,Issue of repeat prescriptions,dx_proc_medi,0.011829107,0.00423276,0.033161528
diag_V68.9,Encounters for unspecified administrative purpose,dx_proc_medi,-0.009724464,0.013665767,0.073445434
diag_V72.83,Other specified pre-operative examination,dx_proc_medi,0.006108889,0.039191698,0.127419091
diag_V76.43,Screening for malignant neoplasms of skin,dx_proc_medi,-0.003001569,0.003456519,0.033283104
diag_V76.51,Special screening for malignant neoplasms of colon,dx_proc_medi,0.000204243,0.010962988,0.055873802
diag_V77.91,Screening for lipoid disorders,dx_proc_medi,0.010586386,0.002024975,0.025031874
diag_V82.81,Special screening for osteoporosis,dx_proc_medi,0.005248008,0.006029925,0.040321294
diag_V87.49,Personal history of other drug therapy,dx_proc_medi,0.005537687,0.001929351,0.026299421
diag_V88.01,Acquired absence of both cervix and uterus,dx_proc_medi,0.001228374,0.003003712,0.033865923
hosp_disch,NA,dx_proc_medi,0.013268145,0.117580718,0.209735206
medi_1/2,NA,dx_proc_medi,0.002512461,0.013730453,0.078597003
medi_ACETAZOLAMIDE,NA,dx_proc_medi,0.009712211,0.002804027,0.034382577
medi_AFATINIB,NA,dx_proc_medi,-0.003575874,0.000860614,0.024532222
medi_AFINITOR,NA,dx_proc_medi,-0.014286545,0.003794015,0.047330197
medi_ALBUMIN,NA,dx_proc_medi,0.006531147,0.000317809,0.011477512
medi_ALEMTUZUMAB,NA,dx_proc_medi,0.010529082,8.72E-05,0.006246227
medi_ALEVE,NA,dx_proc_medi,-0.001130335,0.005976488,0.052148274
medi_ALUM-MAG,NA,dx_proc_medi,-0.010402154,0.030788053,0.119471784
medi_AMIODARONE,NA,dx_proc_medi,-0.018966412,0.006887726,0.063084525
medi_ANASTROZOLE,NA,dx_proc_medi,0.003804824,0.008805827,0.067874658
medi_ANDROGEL,NA,dx_proc_medi,0.005451395,0.001634042,0.028258288
medi_ANIDULAFUNGIN,NA,dx_proc_medi,-0.013850361,0.000601867,0.017153526
medi_ARIMIDEX,NA,dx_proc_medi,-0.002989489,0.003487456,0.037628004
medi_ARSENIC,NA,dx_proc_medi,0.008454477,6.75E-05,0.005433813
medi_ATENOLOL,NA,dx_proc_medi,-0.00889842,0.01742322,0.103086005
medi_ATEZOLIZUMAB,NA,dx_proc_medi,-0.003187259,0.000838115,0.026753934
medi_ATIVAN,NA,dx_proc_medi,-0.007798255,0.015125436,0.088330145
medi_AZACITIDINE,NA,dx_proc_medi,-0.001800003,0.000118124,0.009885302
medi_AZATHIOPRINE,NA,dx_proc_medi,0.010425989,0.001040612,0.02465392
medi_BD,NA,dx_proc_medi,0.013514896,0.005068062,0.04993576
medi_BELLADONNA,NA,dx_proc_medi,0.000500115,0.001487794,0.028041599
medi_BENADRYL,NA,dx_proc_medi,0.015547681,0.007897401,0.05920509
medi_BENDAMUSTINE,NA,dx_proc_medi,0.010416203,0.000596243,0.018342223
medi_BENZOCAINE-MENTHOL,NA,dx_proc_medi,0.001808627,0.011486106,0.073481185
medi_BENZONATATE,NA,dx_proc_medi,-0.004628242,0.012034537,0.083282061
medi_BEVACIZUMAB,NA,dx_proc_medi,-0.001479106,0.025163123,0.139497017
medi_BICALUTAMIDE,NA,dx_proc_medi,0.007175501,0.007197098,0.060882752
medi_BIOTIN,NA,dx_proc_medi,-0.001873605,0.002747778,0.035553275
medi_BISMUTH,NA,dx_proc_medi,-0.012999198,0.000655304,0.017686403
medi_BLOOD,NA,dx_proc_medi,0.000663901,0.000883114,0.018407206
medi_BUMETANIDE,NA,dx_proc_medi,-0.002189995,0.001139048,0.026458666
medi_BUPIVACAINE,NA,dx_proc_medi,0.005441576,0.048458769,0.148411503
medi_BUPROPION,NA,dx_proc_medi,0.004941081,0.00659523,0.06243253
medi_BUTALBITAL-ACETAMINOPHEN-CAFF,NA,dx_proc_medi,0.002433648,0.002297784,0.033624462
medi_BYSTOLIC,NA,dx_proc_medi,-0.002466139,0.002131848,0.032932996
